market,pct,holding,regime,event_n,event_avg_return,event_median_return,event_win_rate,event_avg_mdd,random_n,random_avg_return,random_median_return,random_win_rate,random_avg_mdd,excess_avg_return,excess_win_rate,excess_avg_mdd
SPY,1,1,ALL,56,0.005252226764731164,0.003265238006742832,0.5892857142857143,-0.024538169132293317,56,-0.00019707622925039882,0.0004994650314168458,0.5892857142857143,-0.005999248036945939,0.005449302993981563,0.0,-0.01853892109534738
SPY,1,1,ABOVE,5,0.00434563573749056,0.002684096011488002,0.6,-0.017260551764548993,5,-0.002068252668963222,-0.0016710112892193152,0.2,-0.005919163319101628,0.0064138884064537825,0.39999999999999997,-0.011341388445447364
SPY,1,1,BELOW,51,0.005341108237990047,0.005266434720317292,0.5882352941176471,-0.02525166103109178,51,0.005632627636337374,0.004212788473847429,0.6274509803921569,-0.009990973042875032,-0.000291519398347327,-0.039215686274509776,-0.015260687988216748
SPY,1,3,ALL,56,0.00504453416358686,0.009823861505591225,0.5357142857142857,-0.042683172961776115,56,0.003705969590882499,0.0063370253879394545,0.6785714285714286,-0.00882871318237992,0.001338564572704361,-0.1428571428571429,-0.0338544597793962
SPY,1,3,ABOVE,5,0.0011267470084745268,-0.008886656678071092,0.4,-0.0217575136100423,5,0.005304729878727188,0.007809149243109159,0.8,-0.009285366748954148,-0.004177982870252661,-0.4,-0.012472146861088152
SPY,1,3,BELOW,51,0.005428630943499833,0.014278717770138671,0.5490196078431373,-0.044734708192338254,51,-0.004807775910230956,-0.002891525936227324,0.45098039215686275,-0.025190318031473643,0.01023640685373079,0.09803921568627455,-0.01954439016086461
SPY,1,5,ALL,56,0.008019867568568853,0.011473259314536466,0.5714285714285714,-0.056492263356936946,56,0.004980783728635539,0.004306412987708619,0.6428571428571429,-0.016889310366794023,0.0030390838399333145,-0.07142857142857151,-0.03960295299014292
SPY,1,5,ABOVE,5,0.013840702392769754,0.02077400109935601,0.6,-0.027462664732953355,5,-0.01361589453237908,-0.013050717490756036,0.4,-0.023151817209248395,0.027456596925148832,0.19999999999999996,-0.004310847523704961
SPY,1,5,BELOW,51,0.007449197487764843,0.011461933055896045,0.5686274509803921,-0.05933830243771965,51,0.00887934944495429,0.010832460674671252,0.6666666666666666,-0.0270819721827419,-0.0014301519571894477,-0.0980392156862745,-0.03225633025497775
SPY,1,10,ALL,56,-0.0009228062613748823,0.01015869939106917,0.5535714285714286,-0.07605752009995882,56,0.0041040026746297685,0.004911399806833083,0.6071428571428571,-0.023811819241659322,-0.005026808936004651,-0.05357142857142849,-0.0522457008582995
SPY,1,10,ABOVE,5,0.019208171054783008,0.044087063735645415,0.6,-0.029213451279368318,5,0.017734154682936064,0.01326270738236457,1.0,-0.009581118047522662,0.0014740163718469437,-0.4,-0.019632333231845656
SPY,1,10,BELOW,51,-0.0028964314884491853,0.010083555078741258,0.5490196078431373,-0.0806500758666834,51,0.012633024850107994,0.01775756513074378,0.6078431372549019,-0.030811315937060452,-0.01552945633855718,-0.05882352941176461,-0.049838759929622944
SPY,1,20,ALL,56,0.013911652570129985,0.01930433027214451,0.5714285714285714,-0.09737828204509888,56,0.007765989072412404,0.009875661738177222,0.6607142857142857,-0.02875603694062593,0.006145663497717581,-0.0892857142857143,-0.06862224510447296
